Gender,Income Type,Annual Income,Employment Duration,Education Level,Approved
Male,Salaried,66909.47,3.1,High School,0
Female,Salaried,53846.63,25.1,High School,1
Male,Salaried,20671.63,8.8,Master's,1
Male,Salaried,72728.03,20.3,High School,1
Female,Business,121765.75,4.3,Bachelor's,1
Female,Salaried,38488.43,3.9,Bachelor's,0
Female,Salaried,41809.11,8.5,High School,0
Female,Student,11936.15,0.0,Master's,0
Female,Pensioner,39464.35,0.0,Bachelor's,0
Female,Business,78454.56,2.4,High School,0
Female,Student,22766.69,0.2,Master's,0
Female,Self-Employed,37459.43,1.4,High School,0
Male,Student,7099.81,1.8,High School,0
Female,Salaried,18061.34,1.2,Master's,0
Female,Salaried,69302.8,2.6,Bachelor's,1
Male,Salaried,91145.73,16.1,Bachelor's,1
Female,Salaried,27464.03,0.9,High School,0
Male,Salaried,19024.45,6.0,Master's,0
Male,Self-Employed,112383.14,5.4,Bachelor's,1
Female,Business,46647.21,0.8,High School,0
Male,Self-Employed,99078.44,2.4,Bachelor's,1
Male,Salaried,60380.07,5.0,Master's,1
Male,Business,60141.36,1.2,High School,0
Male,Self-Employed,78152.38,9.7,Master's,1
Female,Salaried,38480.03,21.5,Bachelor's,1
Male,Self-Employed,68974.91,1.5,Bachelor's,0
Female,Salaried,53555.32,1.2,Bachelor's,0
Male,Salaried,25385.2,3.6,Doctorate,0
Male,Pensioner,49675.64,0.0,High School,0
Male,Salaried,57100.77,2.0,High School,0
Male,Salaried,60289.26,0.1,Master's,0
Female,Pensioner,25413.53,0.0,Bachelor's,0
Female,Business,112742.01,18.8,Bachelor's,1
Male,Salaried,91301.43,3.0,Bachelor's,1
Male,Salaried,93924.68,3.3,Bachelor's,1
Female,Salaried,55836.66,20.8,Master's,1
Male,Self-Employed,13124.51,7.1,Master's,0
Male,Salaried,123587.52,7.6,Bachelor's,1
Male,Salaried,63167.07,5.0,Bachelor's,1
Female,Student,5101.34,0.2,Bachelor's,0
Female,Self-Employed,77504.05,7.0,Bachelor's,1
Female,Salaried,100013.62,13.5,Bachelor's,1
Male,Self-Employed,64308.48,7.2,Bachelor's,1
Male,Self-Employed,103357.26,8.0,High School,1
Female,Salaried,97490.0,2.1,Bachelor's,1
Female,Salaried,32708.56,2.2,Bachelor's,0
Female,Business,44786.3,9.2,Master's,1
Female,Salaried,93726.11,2.1,Bachelor's,1
Male,Self-Employed,12000.0,5.0,High School,0
Female,Salaried,60516.33,1.7,Bachelor's,0
Male,Salaried,22075.06,10.2,Master's,1
Female,Salaried,50703.39,0.7,Bachelor's,0
Male,Salaried,56035.4,10.6,Bachelor's,1
Female,Salaried,54252.67,5.5,Bachelor's,1
Female,Salaried,48432.16,1.2,High School,0
Female,Business,32085.69,4.7,Master's,0
Female,Student,17596.2,0.8,High School,0
Male,Business,121023.86,2.3,Bachelor's,1
Female,Pensioner,26626.27,0.0,High School,0
Male,Salaried,112463.5,0.4,High School,1
Male,Student,19332.13,1.7,Bachelor's,0
Male,Salaried,68875.62,0.2,Bachelor's,0
Male,Student,19686.19,0.7,Bachelor's,0
Female,Student,6861.92,1.9,Bachelor's,0
Male,Business,94515.57,6.2,Bachelor's,1
Male,Student,14266.52,0.6,Bachelor's,0
Male,Self-Employed,50703.46,6.7,Bachelor's,0
Female,Salaried,25862.32,7.8,Bachelor's,0
Female,Salaried,38192.15,7.0,Bachelor's,0
Female,Self-Employed,15758.6,0.7,Bachelor's,0
Female,Salaried,65366.71,6.4,Master's,1
Male,Self-Employed,29100.03,2.0,High School,0
Male,Student,15843.91,1.0,Master's,0
Female,Salaried,106103.06,3.2,High School,1
Male,Business,100978.99,3.4,Bachelor's,1
Male,Pensioner,25521.94,0.0,Bachelor's,0
Male,Pensioner,38354.09,0.0,Bachelor's,0
Female,Student,16556.43,1.3,High School,0
Female,Self-Employed,80622.68,2.3,Master's,1
Male,Student,14539.36,0.2,Master's,0
Female,Business,22219.46,7.0,Bachelor's,0
Female,Salaried,76816.2,5.0,Bachelor's,1
Female,Salaried,89879.71,2.6,Master's,1
Female,Business,46050.45,7.3,Master's,1
Female,Salaried,73736.08,4.6,Bachelor's,1
Male,Self-Employed,54092.8,3.8,Bachelor's,0
Female,Self-Employed,59479.03,4.3,Bachelor's,0
Male,Salaried,12000.0,6.1,Bachelor's,0
Male,Self-Employed,58346.56,6.5,Bachelor's,1
Female,Business,94081.08,2.0,Bachelor's,1
Male,Salaried,46057.92,0.9,High School,0
Male,Salaried,66575.79,1.0,Bachelor's,0
Male,Salaried,42321.48,6.1,Bachelor's,0
Female,Salaried,75813.25,12.4,Doctorate,1
Female,Pensioner,27467.94,0.0,Doctorate,0
Male,Salaried,36822.75,1.1,Bachelor's,0
Female,Self-Employed,104976.54,8.5,Bachelor's,1
Female,Salaried,92867.96,10.7,High School,1
Female,Salaried,46852.8,12.8,Bachelor's,1
Female,Business,79933.65,5.6,High School,1
Male,Business,81122.36,11.8,Bachelor's,1
Male,Salaried,84269.04,0.1,Bachelor's,1
Female,Salaried,14172.32,0.7,Bachelor's,0
Female,Salaried,95198.2,0.6,High School,1
Male,Salaried,47909.03,7.5,Master's,1
Male,Self-Employed,54265.16,0.4,Bachelor's,0
Female,Salaried,144136.45,4.1,High School,1
Male,Salaried,74056.2,3.8,High School,0
Female,Salaried,53410.33,2.2,Bachelor's,0
Female,Pensioner,32186.35,0.0,High School,0
Male,Student,14610.63,1.8,Master's,0
Male,Salaried,24643.71,2.6,Bachelor's,0
Female,Business,34896.83,8.9,Master's,1
Female,Salaried,55059.43,0.2,High School,0
Male,Salaried,,6.7,Bachelor's,1
Female,Business,88197.2,10.2,Bachelor's,1
Male,Pensioner,15489.33,0.0,Bachelor's,0
Female,Student,21412.96,0.9,Bachelor's,0
Male,Self-Employed,46988.43,2.3,Master's,0
Male,Salaried,69189.61,5.3,High School,0
Male,Business,67200.1,0.5,Bachelor's,0
Female,Salaried,94063.1,1.8,Master's,1
Female,Self-Employed,94015.34,0.6,High School,0
Male,Salaried,79819.32,2.3,High School,0
Female,Self-Employed,54129.57,12.5,High School,1
Male,Salaried,87254.67,2.6,Bachelor's,1
Male,Salaried,62240.95,5.0,Bachelor's,1
Female,Pensioner,42302.13,0.0,High School,0
Female,Salaried,52901.37,3.7,Bachelor's,0
Male,Self-Employed,67535.81,21.0,Bachelor's,1
Female,Salaried,92306.47,2.1,High School,0
Female,Salaried,59494.15,5.9,Bachelor's,1
Male,Salaried,28724.04,3.3,Bachelor's,0
Male,Salaried,66702.25,0.4,Master's,0
Female,Pensioner,32968.65,0.0,Bachelor's,0
Male,Salaried,70575.13,10.1,Master's,1
Male,Student,14301.77,0.5,Bachelor's,0
Female,Self-Employed,95567.7,0.4,Bachelor's,0
Male,Salaried,47173.67,1.0,Bachelor's,0
Male,Self-Employed,46515.7,8.7,Master's,0
Female,Self-Employed,33794.04,7.7,Bachelor's,0
Female,Business,85964.47,5.0,Master's,1
Male,Salaried,108464.6,3.8,Doctorate,1
Male,Salaried,55547.54,13.2,High School,1
Female,Pensioner,34729.58,0.0,High School,0
Female,Pensioner,49995.5,0.0,High School,0
Female,Pensioner,37546.23,0.0,Bachelor's,0
Female,Salaried,78087.07,6.2,High School,0
Male,Business,29272.5,3.7,Master's,0
Female,Salaried,85361.84,12.0,High School,1
Female,Salaried,37125.91,15.6,Bachelor's,1
Male,Salaried,30979.39,0.1,High School,0
Female,Self-Employed,54596.85,0.3,Master's,0
Male,Salaried,47426.22,19.1,Bachelor's,1
Female,Salaried,58352.01,1.9,Master's,0
Female,Pensioner,39299.27,0.0,Doctorate,0
Female,Salaried,93764.49,3.0,Bachelor's,1
Male,Salaried,98830.59,0.8,High School,1
Male,Salaried,12000.0,0.5,High School,0
Female,Pensioner,32200.9,0.0,High School,0
Male,Self-Employed,40684.14,1.7,Bachelor's,0
Male,Salaried,90709.27,4.0,High School,1
Male,Business,62946.61,7.3,High School,1
Male,Business,65863.27,25.8,Bachelor's,1
Male,Salaried,59447.07,3.5,Bachelor's,0
Male,Self-Employed,101363.88,4.4,Bachelor's,1
Female,Business,27812.36,4.4,Bachelor's,0
Female,Self-Employed,83235.21,4.7,Master's,1
Male,Salaried,98039.9,4.4,Bachelor's,1
Female,Pensioner,27407.13,0.0,High School,0
Female,Self-Employed,134740.97,0.0,Master's,1
Female,Salaried,49131.6,0.6,Doctorate,0
Female,Salaried,93719.14,0.6,High School,1
Male,Salaried,61817.28,7.3,Bachelor's,1
Female,Salaried,102002.18,1.4,Bachelor's,1
Female,Business,64769.33,13.5,High School,1
Male,Salaried,53363.73,15.8,Master's,1
Male,Salaried,104182.17,22.4,Bachelor's,1
Female,Self-Employed,50253.14,16.8,Master's,1
Female,Salaried,22618.23,1.9,Bachelor's,0
Female,Student,14898.65,1.6,Bachelor's,0
Female,Salaried,83570.99,1.2,High School,0
Female,Salaried,106761.16,9.8,High School,1
Female,Salaried,68333.88,13.2,High School,1
Male,Salaried,104545.91,11.4,High School,1
Female,Salaried,24254.75,3.4,Bachelor's,0
Female,Business,51702.1,8.5,Master's,1
Male,Student,14142.41,2.0,Bachelor's,0
Male,Salaried,61563.22,0.2,Master's,0
Male,Self-Employed,67522.83,8.4,Bachelor's,1
Male,Business,85727.33,3.3,Master's,1
Female,Business,51655.79,32.5,Doctorate,1
Female,Salaried,69170.86,0.6,High School,0
Female,Salaried,63646.31,11.6,Master's,1
Female,Salaried,37223.3,3.9,Bachelor's,0
Female,Business,61590.0,10.5,Master's,1
Female,Business,60690.21,10.2,Bachelor's,1
Male,Salaried,60047.58,14.9,Bachelor's,1
Female,Salaried,65952.78,2.1,High School,0
Male,Pensioner,17380.01,0.0,High School,0
Male,Business,52031.14,1.0,Bachelor's,0
Female,Student,5932.83,1.4,Doctorate,0
Male,Business,29915.58,3.4,Bachelor's,0
Female,Salaried,43370.9,10.6,Bachelor's,1
Male,Self-Employed,148398.91,3.8,Master's,1
Female,Self-Employed,33860.26,10.6,Master's,0
Male,Salaried,24387.36,7.8,Bachelor's,0
Female,Self-Employed,87034.3,1.4,High School,0
Female,Business,12000.0,17.8,High School,1
Female,Salaried,57941.78,0.4,Master's,0
Female,Business,129374.75,13.7,Master's,1
Female,Self-Employed,18651.92,2.2,Bachelor's,0
Male,Student,12074.77,0.5,Bachelor's,0
Male,Salaried,20024.56,3.3,Master's,0
Male,Salaried,91950.79,1.1,Master's,1
Female,Self-Employed,98743.3,2.7,Master's,1
Male,Salaried,49622.34,1.3,Bachelor's,0
Female,Business,85496.37,1.4,High School,0
Female,Business,106707.66,1.2,Bachelor's,1
Male,Salaried,118620.39,4.0,High School,1
Male,Self-Employed,57609.94,9.6,Master's,1
Female,Self-Employed,12000.0,5.0,Bachelor's,0
Male,Salaried,40373.63,13.4,Master's,1
Female,Pensioner,40881.93,0.0,Bachelor's,0
Female,Business,57231.84,7.0,Master's,1
Female,Self-Employed,59364.22,6.6,Bachelor's,1
Female,Business,98566.84,3.6,Bachelor's,1
Female,Salaried,103232.85,7.0,Bachelor's,1
Male,Pensioner,32298.26,0.0,High School,0
Male,Self-Employed,97954.55,11.8,Master's,1
Female,Business,75729.84,9.0,Bachelor's,1
Female,Pensioner,16002.61,0.0,Bachelor's,0
Male,Salaried,92196.32,8.8,Master's,1
Male,Business,67167.56,0.1,Master's,0
Female,Salaried,126734.34,1.5,Bachelor's,1
Male,Salaried,21847.66,0.4,Master's,0
Female,Salaried,49544.87,9.1,High School,0
Male,Student,13228.72,1.2,High School,0
Female,Pensioner,47264.21,0.0,Bachelor's,0
Male,Business,103038.81,0.0,Bachelor's,1
Female,Business,64268.04,4.2,Bachelor's,0
Male,Self-Employed,22333.11,7.3,Bachelor's,0
Male,Pensioner,32484.68,0.0,Bachelor's,0
Female,Salaried,87648.76,6.3,Master's,1
Male,Salaried,12000.0,0.5,Bachelor's,0
Female,Salaried,64885.88,1.2,Doctorate,1
Male,Business,17295.75,3.9,Master's,0
Female,Business,45060.47,6.4,Bachelor's,1
Male,Salaried,37915.73,0.9,Bachelor's,0
Female,Salaried,89277.94,1.2,Bachelor's,1
Male,Business,68504.91,1.4,Master's,1
Female,Salaried,26432.27,1.6,High School,0
Male,Business,91401.98,1.5,High School,0
Female,Student,9377.37,1.4,Master's,0
Female,Salaried,74903.41,6.4,Bachelor's,1
Female,Salaried,40579.68,3.5,High School,0
Male,Business,54029.69,9.0,High School,0
Female,Business,80128.12,7.6,Master's,1
Male,Self-Employed,80643.48,0.8,Master's,1
Female,Student,19419.11,1.5,Bachelor's,0
Male,Salaried,62532.39,12.6,Bachelor's,1
Female,Self-Employed,74193.53,0.5,Master's,0
Male,Business,51867.88,1.0,Master's,0
Male,Pensioner,,0.0,Master's,0
Female,Salaried,78184.58,5.9,Bachelor's,1
Male,Business,62050.7,5.2,Master's,1
Male,Self-Employed,12000.0,26.0,Bachelor's,1
Female,Salaried,74944.13,13.1,High School,1
Male,Salaried,75936.84,3.2,Bachelor's,1
Male,Pensioner,16183.76,0.0,Bachelor's,0
Male,Salaried,26468.39,2.1,Master's,0
Female,Salaried,109276.37,1.0,High School,1
Male,Salaried,79743.37,0.9,Master's,1
Female,Pensioner,30662.52,0.0,Bachelor's,0
Male,Self-Employed,30889.01,0.7,Bachelor's,0
Male,Business,40345.56,1.7,High School,0
Male,Salaried,104077.71,2.2,Bachelor's,1
Female,Self-Employed,69129.86,19.6,Bachelor's,1
Male,Self-Employed,48482.39,5.2,Bachelor's,0
Male,Business,80290.68,26.3,High School,1
Female,Pensioner,38770.44,0.0,Bachelor's,0
Male,Salaried,110025.29,3.7,Master's,1
Female,Self-Employed,105584.02,2.4,Bachelor's,1
Female,Salaried,51002.78,1.2,Bachelor's,0
Male,Self-Employed,46139.89,0.9,Bachelor's,0
Female,Salaried,12000.0,17.4,Master's,1
Male,Salaried,20552.58,26.0,Bachelor's,1
Female,Salaried,24815.91,0.3,High School,0
Female,Self-Employed,69055.71,1.0,Master's,0
Male,Salaried,55212.99,3.3,Bachelor's,0
Female,Business,24639.94,1.2,High School,0
Female,Salaried,56565.08,2.7,Doctorate,1
Female,Salaried,80160.11,0.8,Bachelor's,0
Female,Business,80835.18,3.7,Bachelor's,1
Female,Salaried,12000.0,1.9,Bachelor's,0
Male,Salaried,61152.1,2.6,Master's,1
Female,Self-Employed,23499.78,0.6,High School,0
Male,Salaried,92051.86,3.4,Bachelor's,1
Female,Salaried,88524.39,24.5,High School,1
Male,Salaried,38059.18,2.4,Master's,0
Male,Pensioner,18330.74,0.0,Bachelor's,0
Female,Self-Employed,51161.99,11.1,Bachelor's,1
Female,Self-Employed,12000.0,18.2,High School,0
Female,Self-Employed,75079.05,9.4,Bachelor's,1
Male,Salaried,56814.66,6.5,Master's,1
Female,Salaried,94105.25,11.7,Bachelor's,1
Male,Business,32047.72,0.5,Master's,0
Male,Salaried,46426.31,3.7,Bachelor's,0
Male,Salaried,,27.2,Master's,1
Female,Salaried,34871.28,8.8,High School,0
Female,Salaried,29540.54,19.6,Bachelor's,1
Male,Student,23842.93,0.8,Doctorate,0
Male,Salaried,44052.14,12.5,Doctorate,1
Female,Self-Employed,68725.27,7.4,Bachelor's,1
Male,Salaried,53577.1,8.6,Bachelor's,1
Female,Student,24708.1,0.9,High School,0
Male,Salaried,59950.99,15.5,Master's,1
Female,Salaried,82973.1,10.5,Bachelor's,1
Male,Business,28767.22,11.1,Bachelor's,0
Female,Business,89273.38,6.7,High School,1
Male,Salaried,39508.37,2.2,Master's,0
Female,Salaried,50510.48,0.2,Bachelor's,0
Female,Salaried,80920.49,16.5,Bachelor's,1
Male,Salaried,45096.92,5.3,Bachelor's,0
Male,Salaried,66127.25,2.1,Bachelor's,0
Female,Salaried,55559.28,1.0,Bachelor's,0
Male,Salaried,68881.04,10.6,Master's,1
Female,Salaried,12000.0,10.9,Master's,1
Male,Self-Employed,12000.0,10.1,Bachelor's,0
Female,Student,19356.6,0.1,Master's,0
Female,Self-Employed,96115.44,2.7,Bachelor's,1
Female,Salaried,37685.4,2.2,Bachelor's,0
Female,Salaried,57679.15,0.1,Doctorate,0
Female,Student,15010.79,1.2,Bachelor's,0
Female,Salaried,85796.53,0.5,Bachelor's,1
Male,Salaried,12000.0,6.0,Doctorate,0
Male,Self-Employed,38418.79,4.2,High School,0
Male,Self-Employed,55022.62,4.5,Master's,0
Female,Self-Employed,86094.21,15.7,Master's,1
Female,Salaried,139952.91,0.2,Bachelor's,1
Female,Salaried,58159.83,8.9,High School,1
Female,Student,7593.01,1.9,Bachelor's,0
Male,Salaried,77068.04,0.2,High School,0
Male,Self-Employed,104629.87,3.4,Bachelor's,1
Female,Business,68240.42,0.4,Master's,0
Male,Self-Employed,37800.54,9.3,Bachelor's,0
Male,Salaried,93739.82,4.5,Bachelor's,1
Female,Salaried,84906.37,0.2,Bachelor's,0
Male,Self-Employed,34217.57,0.2,Bachelor's,0
